2,9688
2,35263
1,5285
1,1566
2,34303
1,5407
1,178
2,3404
1,54275
1,17077
341,158
168,335
134,841
103,034
170,007
134,926
102,724
178,004
116,811
99,8152
271,91
152,969
98,7894
80,6046
139,547
98,6338
80,8672
4,7297
3,593
2,456
1,82887
3,59343
2,41893
2,1158
3,592
2,42927
2,1509
676,335
338,796
274,352
212,461
343,031
274,478
219,208
342,665
235,845
209,039
546,208
316,093
231,449
220,328
318,151
239,945
216,546
6,90813
5,1883
3,48087
2,5996
5,17257
3,51653
2,62037
5,19373
3,47747
2,65413
1 214,42
603,715
488,932
384,775
608,848
491,116
373,518
605,932
417,445
358,813
952,868
527,726
395,656
353,37
542,767
406,471
341,957
9,60913
7,02853
4,89263
3,9811
6,99057
4,7124
3,5519
6,99437
4,7121
3,56757
1 942,18
955,33
779,991
598,093
972,26
779,235
599,274
971,159
675,726
571,197
1 612,5
882,701
638,969
552,355
889,573
647,615
561,629
